,model,feats,body_part,interp,emotion,fold,epoch,p,p_std,r,r_std,f,f_std,acc,acc_std
501,JointBiLSTM,brute,hands,True,sadness,6,17,0.0,,0.0,,0.0,,[0.72421203],
502,JointBiLSTM,brute,hands,True,sadness,7,17,0.0,,0.0,,0.0,,[0.64207378],
503,JointBiLSTM,brute,hands,True,sadness,average,17,0.38761755727246056,0.39013386663200694,0.11046134871796251,0.12504649866957776,0.1636269105954782,0.17583100235345328,0.698167100630818,0.10705992120413424
504,JointBiLSTM,brute,head,True,sadness,0,17,0.0,,0.0,,0.0,,[0.7271028],
505,JointBiLSTM,brute,head,True,sadness,1,17,0.4986449864498645,,0.09032891507118311,,0.15295095594347466,,[0.5773538],
506,JointBiLSTM,brute,head,True,sadness,2,17,0.0,,0.0,,0.0,,[0.89365816],
507,JointBiLSTM,brute,head,True,sadness,3,17,0.8031496062992126,,0.39080459770114945,,0.5257731958762887,,[0.85295685],
508,JointBiLSTM,brute,head,True,sadness,4,17,0.6646706586826348,,0.14760638297872342,,0.24156692056583245,,[0.48421312],
509,JointBiLSTM,brute,head,True,sadness,5,17,0.5947136563876652,,0.11578044596912522,,0.1938262742282843,,[0.61580568],
510,JointBiLSTM,brute,head,True,sadness,6,17,0.0,,0.0,,0.0,,[0.80014327],
511,JointBiLSTM,brute,head,True,sadness,7,17,0.04376012965964344,,0.11790393013100436,,0.06382978723404256,,[0.60518445],
512,JointBiLSTM,brute,head,True,sadness,average,17,0.3256173796848776,0.3245899443033514,0.1078030339813982,0.12093887200914054,0.14724339173099033,0.16822007928218705,0.6945522649085645,0.13652373119022782
513,JointBiLSTM,brute,full,True,sadness,0,17,0.0,,0.0,,0.0,,[0.69688474],
514,JointBiLSTM,brute,full,True,sadness,1,17,0.5325443786982249,,0.30927835051546393,,0.391304347826087,,[0.59352966],
515,JointBiLSTM,brute,full,True,sadness,2,17,0.0,,0.0,,0.0,,[0.77919567],
516,JointBiLSTM,brute,full,True,sadness,3,17,0.7200647249190939,,0.5683269476372924,,0.6352605281941469,,[0.86387853],
517,JointBiLSTM,brute,full,True,sadness,4,17,0.8918918918918919,,0.2632978723404255,,0.40657084188911696,,[0.5722743],
518,JointBiLSTM,brute,full,True,sadness,5,17,0.5009746588693957,,0.22041166380789023,,0.3061346039309113,,[0.60143688],
519,JointBiLSTM,brute,full,True,sadness,6,17,0.0,,0.0,,0.0,,[0.8739255],
520,JointBiLSTM,brute,full,True,sadness,7,17,0.005333333333333333,,0.013100436681222707,,0.007580543272267846,,[0.60842473],
521,JointBiLSTM,brute,full,True,sadness,average,17,0.3313511234639925,0.34824980030240843,0.17180190887278685,0.19384276583497292,0.21835635813906626,0.23300073713019676,0.6986937492082532,0.11679296314966468
522,JointBiLSTM,brute,full-head,True,sadness,0,17,0.0,,0.0,,0.0,,[0.75638629],
